31.0, 10, 276.0, 0.06791906133333334
63.0, 10, 323.0, 0.148134493
127.0, 10, 311.0, 0.29899199699999995
255.0, 10, 343.0, 0.786765603
511.0, 10, 302.0, 1.3517299489999999
1023.0, 10, 365.0, 3.7089413560000004
2047.0, 10, 248.0, 5.502298399666667
4095.0, 10, 366.0, 16.567209848666668
8191.0, 10, 367.0, 35.074456034
16383.0, 10, 363.0, 75.11741272299999
31.0, 100, 1060.0, 4.013931257
63.0, 100, 1032.0, 9.550839799
127.0, 100, 1011.0, 21.70797508833333
255.0, 100, 1098.0, 52.49931056833333
511.0, 100, 1026.0, 95.00748371000002
1023.0, 100, 861.0, 161.701748268
2047.0, 100, 1070.0, 426.0796156073333
4095.0, 100, 1025.0, 747.243211998
8191.0, 100, 1185.0, 1756.0198991266664
31.0, 500, 1213.0, 138.24403741933332
63.0, 500, 1374.0, 328.09202023566667
127.0, 500, 1312.0, 633.1718836253334
255.0, 500, 1188.0, 1124.4293084813332
